Foundation Model,Avg Accuracy,Best Accuracy,Avg With Norm,Avg Without Norm,Normalization Impact,Consistency (Std)
UNI,0.75,0.85,0.7666666666666666,0.7333333333333334,0.033333333333333215,0.06708203932499367
UNI2-h,0.9166666666666666,0.975,0.9166666666666666,0.9166666666666666,0.0,0.04377975178854565
Virchow2,0.8124999999999999,0.825,0.8249999999999998,0.8000000000000002,0.02499999999999969,0.020916500663351854
