Model,Fold,C-index,Time (s)
cox,1.0,0.6312008210742388,0.08387041091918945
cox,2.0,0.6027350427350427,0.10374808311462402
cox,3.0,0.5514529914529914,0.08075380325317383
cox,4.0,0.5309613410879234,0.11601924896240234
cox,5.0,0.5122893258426966,0.07728433609008789
rsf,1.0,0.6315429353404037,0.1871330738067627
rsf,2.0,0.5743589743589743,0.19413161277770996
rsf,3.0,0.5162393162393163,0.19280147552490234
rsf,4.0,0.4782757440985289,0.19945645332336426
rsf,5.0,0.5101825842696629,0.1878800392150879
