Model,Fold,C-index,Time (s)
cox,1.0,0.651043448511803,0.08785486221313477
cox,2.0,0.637948717948718,0.0812218189239502
cox,3.0,0.5941880341880342,0.08716464042663574
cox,4.0,0.5720150530277113,0.0900583267211914
cox,5.0,0.6271067415730337,0.08498787879943848
rsf,1.0,0.6640437906260691,0.17542147636413574
rsf,2.0,0.5852991452991453,0.18079519271850586
rsf,3.0,0.5921367521367521,0.17928576469421387
rsf,4.0,0.579883681149504,0.17797040939331055
rsf,5.0,0.6348314606741573,0.1588277816772461
