Model,Fold,C-index,Time (s)
cox,1.0,0.681491618200479,-0.600475549697876
cox,2.0,0.585982905982906,0.07176709175109863
cox,3.0,0.5405128205128205,0.06929445266723633
cox,4.0,0.5624358535750941,0.06890010833740234
cox,5.0,0.5933988764044944,0.14832568168640137
rsf,1.0,0.644201163188505,0.18440032005310059
rsf,2.0,0.5931623931623932,0.19058680534362793
rsf,3.0,0.5100854700854701,0.18802952766418457
rsf,4.0,0.5378036264112214,0.18937039375305176
rsf,5.0,0.5828651685393258,0.17843317985534668
